Id,Name,Surname
1,Gwyneth,Paltrow
2,Jude,Law
3,Angelina,Jolie
4,Milla,Jovovich
5,Sienna,Guillory
6,Eric,Mabius
7,Bernie,Mac
8,Angela,Bassett
9,Michael,Rispoli
10,Kirsten,Dunst
11,Paul,Bettany
12,Jon,Favreau
13,Kim,Basinger
14,Chris,Evans
15,Jason,Statham
16,Jet,Li
17,Tony,Leung Chiu-wai
18,Maggie,Cheung
19,Matthew,Lillard
20,Seth,Green
21,Dax,Shepard
22,Tom,Cruise
23,Jamie,Foxx
24,Jada,Pinkett Smith
25,Jon,Heder
26,Efren,Ramirez
27,Jon,Gries
28,Matt,Damon
29,Franka,Potente
30,Joan,Allen
31,Reese,Witherspoon
32,Romola,Garai
33,James,Purefoy
34,Zach,Braff
35,Peter,Sarsgaard
36,Natalie,Portman
37,Cole,Hauser
38,Robin,Tunney
39,Dennis,Farina
40,Anne,Hathaway
41,Callum,Blue
42,Julie,Andrews
43,Morris,Chestnut
44,KaDee,Strickland
45,Eugene,Byrd
46,Josh,Hartnett
47,Diane,Kruger
48,Denzel,Washington
49,Liev,Schreiber
50,Meryl,Streep
51,Stellan,Skarsgård
52,Izabella,Scorupco
53,James,D'Arcy
54,Will,Smith
55,Bridget,Moynahan
56,Bruce,Greenwood
57,Sanaa,Lathan
58,Lance,Henriksen
59,Raoul,Bova
60,Akio,Ôtsuka
61,Atsuko,Tanaka
62,Tamio,Ôki
63,Kevin,Costner
64,Ryan,Reynolds
65,Gal,Gadot
66,Kevin,Kline
67,Ashley,Judd
68,Jonathan,Pryce
69,Halle,Berry
70,Sharon,Stone
71,Benjamin,Bratt
72,Aaron,Eckhart
73,Ben,Kingsley
74,Carrie-Anne,Moss
75,Daniel,Radcliffe
76,Emma,Watson
77,Rupert,Grint
78,Senta,Moses
79,David,Allen Brooks
80,Matt,Price
81,Ethan,Hawke
82,Julie,Delpy
83,Vernon,Dobtcheff
84,Mark,Ruffalo
85,Laura,Dern
86,Peter,Krause
87,Kiefer,Sutherland
88,Tony,Stewart
89,Matt,Kenseth
90,Sandrine,Bonnaire
91,Fabrice,Luchini
92,Michel,Duchaussoy
93,Dennis,Quaid
94,Jake,Gyllenhaal
95,Emmy,Rossum
96,Rory,Culkin
97,Ryan,Kelley
98,Scott,Mechlowicz
99,Hilary,Duff
100,Chad,Michael Murray
101,Jennifer,Coolidge
102,Matthew,Trevannion
103,Mandeep,Dhillon
104,Colin,Farrell
105,Dallas,Roberts
106,Robin,Wright
107,Clive,Owen
108,Malcolm,McDowell
109,Jonathan,Rhys Meyers
110,Anthony,LaPaglia
111,Samara,Lee
112,Miranda,Otto
113,Fionn,Whitehead
114,Barry,Keoghan
115,Mark,Rylance
116,Will,Arnett
117,Maya,Rudolph
118,Bobby,Cannavale
119,T.J.,Miller
120,James,Corden
121,Anna,Faris
122,Idris,Elba
123,Matthew,McConaughey
124,Tom,Taylor
125,Tom,Holland
126,Michael,Keaton
127,Robert,Downey Jr.
128,Brie,Larson
129,Woody,Harrelson
130,Naomi,Watts
131,Charlize,Theron
132,James,McAvoy
133,John,Goodman
134,Sage,Correa
135,Chris,McGinn
136,Steve,Carell
137,Kristen,Wiig
138,Trey,Parker
139,Andy,Serkis
140,Steve,Zahn
141,John,Boyega
142,Anthony,Mackie
143,Algee,Smith
144,Ansel,Elgort
145,Jon,Bernthal
146,Jon,Hamm
147,Makoto,Furukawa
148,Wataru,Hatano
149,Aya,Hirano
150,Chris,Pine
151,Kumail,Nanjiani
152,Zoe,Kazan
153,Holly,Hunter
154,Dane,DeHaan
155,Cara,Delevingne
156,Al,Gore
157,Cory,Booker
158,George,W. Bush
159,Akshay,Kumar
160,Anupam,Kher
161,Bhumi,Pednekar
162,Elizabeth,Olsen
163,Jeremy,Renner
164,Graham,Greene
165,Owen,Wilson
166,Cristela,Alonzo
167,Chris,Cooper
168,Gari,McIntyre
169,Amanda,Leonard
170,Blessin,Giraldo
171,Chris,Pratt
172,Zoe,Saldaña
