Id,Date
1,2004-09-20
2,2004-12-15
3,2004-11-10
4,2004-10-22
5,2004-10-18
6,2004-11-28
7,2004-11-14
8,2004-11-12
9,2004-12-01
10,2004-11-23
11,2004-09-30
12,2004-10-17
13,2004-11-30
14,2004-09-28
15,2004-11-21
16,2004-12-18
17,2004-11-11
18,2004-12-08
19,2004-11-03
20,2004-09-24
21,2004-12-07
22,2004-11-09
23,2004-11-25
24,2004-10-30
25,2004-11-15
26,2004-11-20
27,2004-11-07
28,2004-09-29
29,2004-11-19
30,2004-11-02
31,2004-12-10
32,2004-10-07
33,2004-11-04
34,2004-10-06
35,2004-10-05
36,2004-12-09
37,2004-10-02
38,2004-11-01
39,2004-11-22
40,2004-10-31
41,2004-10-14
42,2004-10-20
43,2004-12-11
44,2004-12-05
45,2004-10-27
46,2004-09-27
47,2004-11-18
48,2004-10-04
49,2004-11-13
50,2004-09-21
51,2004-09-19
52,2004-10-19
53,2004-10-15
54,2004-11-05
55,2004-10-26
56,2004-11-26
57,2004-12-16
58,2004-12-12
59,2004-12-06
60,2004-10-11
61,2004-10-08
62,2004-12-02
63,2004-11-17
64,2004-10-10
65,2004-10-12
66,2004-12-03
67,2004-12-20
68,2004-12-04
69,2004-12-19
70,2004-12-21
71,2004-10-29
72,2004-11-08
73,2004-09-25
74,2004-12-13
75,2004-10-13
76,2004-10-01
77,2004-10-09
78,2004-11-24
79,2004-09-26
80,2004-10-16
81,2004-12-17
82,2004-09-17
83,2004-11-29
84,2004-11-27
85,2004-09-18
86,2004-10-25
87,2004-10-03
88,2004-09-23
89,2004-10-28
90,2004-10-24
91,2004-12-14
92,2004-10-23
93,2004-09-22
94,2004-11-06
95,2004-10-21
96,2004-11-16
97,2004-09-16
98,2004-09-10
99,2004-09-11
100,2004-09-14
101,2004-09-13
102,2004-09-15
103,2004-09-12
104,2004-09-05
105,2004-09-09
106,2004-09-02
107,2004-09-04
108,2004-09-07
109,2004-08-31
110,2004-08-29
111,2004-09-03
112,2004-08-27
113,2004-08-30
114,2004-09-06
115,2004-08-28
116,2004-09-01
117,2004-09-08
118,2004-08-22
119,2005-01-05
120,2005-01-12
121,2005-01-10
122,2004-08-25
123,2004-08-24
124,2005-01-07
125,2004-12-26
126,2004-12-23
127,2004-08-20
128,2004-12-24
129,2004-12-31
130,2005-01-01
131,2004-12-28
132,2004-12-25
133,2005-01-04
134,2005-01-13
135,2004-12-30
136,2005-01-06
137,2005-01-11
138,2004-12-27
139,2005-01-09
140,2005-01-03
141,2004-12-29
142,2004-12-22
143,2004-08-23
144,2004-08-21
145,2005-01-02
146,2004-08-26
147,2005-01-08
148,2004-08-08
149,2004-08-11
150,2004-08-06
151,2004-08-12
152,2004-08-13
153,2004-08-10
154,2004-08-18
155,2004-08-16
156,2004-08-07
157,2004-08-17
158,2004-08-15
159,2004-08-14
160,2004-08-09
161,2004-08-19
162,2004-08-05
163,2004-07-07
164,2005-01-16
165,2004-06-14
166,2004-06-12
167,2004-07-02
168,2004-06-29
169,2004-07-25
170,2004-08-03
171,2004-06-22
172,2004-06-30
173,2004-06-24
174,2004-07-24
175,2004-07-13
176,2004-07-06
177,2005-01-18
178,2005-01-17
179,2004-07-20
180,2004-08-02
181,2004-06-20
182,2004-06-16
183,2004-07-26
184,2004-06-23
185,2004-06-27
186,2004-07-18
187,2004-08-04
188,2004-06-11
189,2004-07-21
190,2004-07-19
191,2004-07-03
192,2004-07-27
193,2004-07-12
194,2004-07-14
195,2004-06-15
196,2004-07-22
197,2004-07-23
198,2004-07-29
199,2004-06-26
200,2005-01-19
201,2004-07-05
202,2004-07-15
203,2004-07-10
204,2004-07-08
205,2005-01-20
206,2004-06-18
207,2004-07-16
208,2005-01-14
209,2004-07-28
210,2004-07-01
211,2005-01-15
212,2004-06-17
213,2004-07-11
214,2004-07-04
215,2004-06-28
216,2004-08-01
217,2004-07-09
218,2004-07-17
219,2004-06-13
220,2004-06-21
221,2004-07-31
222,2004-06-19
223,2004-06-25
224,2004-07-30
225,2016-04-26
226,2016-05-22
227,2016-04-18
228,2016-05-16
229,2016-04-23
230,2016-04-30
231,2016-05-05
232,2016-05-23
233,2016-05-26
234,2016-04-15
235,2016-05-08
236,2016-04-20
237,2016-05-20
238,2016-05-04
239,2016-05-25
240,2016-05-11
241,2016-05-09
242,2016-05-03
243,2016-05-14
244,2016-05-10
245,2016-05-24
246,2016-04-29
247,2016-04-25
248,2016-04-17
249,2016-04-24
250,2016-05-07
251,2016-05-12
252,2016-05-06
253,2016-05-02
254,2016-05-13
255,2016-04-28
256,2016-05-21
257,2016-05-15
258,2016-04-27
259,2016-05-17
260,2016-04-16
261,2016-05-01
262,2016-05-19
263,2016-04-21
264,2016-05-18
265,2016-04-22
266,2016-04-19
267,2004-06-08
268,2004-06-10
269,2004-06-05
270,2004-06-07
271,2004-06-04
272,2004-06-09
273,2004-06-06
274,2004-04-10
275,2004-04-02
276,2004-05-04
277,2004-04-28
278,2005-03-01
279,2004-03-24
280,2004-06-02
281,2004-03-26
282,2005-02-08
283,2005-02-24
284,2004-04-09
285,2005-03-07
286,2004-05-03
287,2004-05-29
288,2004-05-02
289,2005-02-06
290,2004-05-31
291,2005-02-19
292,2005-03-04
293,2005-02-14
294,2004-05-18
295,2004-03-16
296,2005-03-11
297,2004-05-11
298,2005-02-23
299,2004-05-07
300,2004-04-26
301,2004-04-08
302,2004-03-23
303,2004-04-03
304,2004-05-25
305,2004-03-20
306,2005-01-30
307,2004-04-17
308,2004-04-25
309,2004-05-16
310,2005-03-09
311,2005-03-15
312,2005-01-23
313,2004-05-05
314,2004-04-16
315,2004-05-14
316,2004-03-25
317,2005-02-02
318,2005-02-15
319,2004-04-18
320,2005-02-28
321,2005-03-13
322,2005-02-25
323,2005-03-05
324,2005-01-25
325,2004-04-21
326,2005-03-10
327,2005-02-22
